Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11886,100,11886,11078,14418,0,1,100,1,,0,,0,LVg,113,1,2,100,5,18,0,0,0,0,0,4,80,11,9,12,1.6,0.63,6.5,54,6,83,6.1,0.1,0.1,2,0.1,5,68,10,22,10,1.45,0.3,6.4,43,9,80,5.9,0.1,0.1,1,0.1
11889,500,11889,11081,14502,0,1,100,1,,0,,0,ATf,49,2,4,100,1,0,0,0,0,0,0,10,46,40,14,9,1.47,1.15,7.8,39,12,100,27,9.2,0,1,0.3,10,40,45,15,9,1.45,0.78,7.9,41,13,100,32.9,9.4,0,1,0.3
11890,400,11890,11082,14503,0,1,100,1,,0,,0,ATc,48,2,4,100,1,0,0,0,0,0,0,10,29,50,21,7,1.38,1.12,7.8,34,11,100,24.1,9.3,0,1,0.3,10,34,45,21,9,1.39,0.82,7.9,41,13,100,32.9,9.4,0,1,0.3
11891,200,11891,11083,14504,0,1,100,1,,0,,0,ATc,48,2,4,100,1,0,0,0,0,0,0,10,29,50,21,7,1.38,1.12,7.8,34,11,100,24.1,9.3,0,1,0.3,10,34,45,21,9,1.39,0.82,7.9,41,13,100,32.9,9.4,0,1,0.3
11892,100,11892,11084,14505,0,1,100,1,,0,,0,ATc,48,2,4,100,1,0,0,0,0,0,0,10,29,50,21,7,1.38,1.12,7.8,34,11,100,24.1,9.3,0,1,0.3,10,34,45,21,9,1.39,0.82,7.9,41,13,100,32.9,9.4,0,1,0.3
11894,100,11894,11086,14600,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11895,300,11895,11087,14700,0,1,100,1,,0,,0,CMc,65,2,4,100,1,23,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11896,200,11896,11088,14701,0,1,100,1,,0,,0,CMc,65,2,4,100,1,23,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11897,100,11897,11089,14702,0,1,100,1,,0,,0,CMc,65,2,4,100,1,23,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11899,2000,11899,11091,14704,0,1,100,1,,0,,0,CMc,65,2,4,100,1,23,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11900,700,11900,11092,14705,0,1,100,1,,0,,0,CMc,65,2,4,100,1,23,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11902,200,11902,11094,14710,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11904,800,11904,11096,14712,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11909,100,11909,11101,14718,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11915,100,11915,11107,15204,0,1,100,1,,0,,0,CHk,53,2,4,100,1,0,0,0,0,0,0,4,28,47,25,9,1.35,1.65,7.8,64,23,100,38,4.6,0,1,0.4,17,28,47,25,9,1.35,0.78,8.2,81,24,100,29.1,13.6,0,2,0.4
11921,100,11921,11113,16200,0,1,100,1,,0,,0,PHg,136,2,2,100,1,0,0,0,0,0,0,3,35,42,23,9,1.38,1.26,5.7,51,16,84,13.8,0,0,2,0.1,5,29,38,33,5,1.31,0.5,6.9,62,23,90,22.3,2.2,0,2,0.1
11923,200,11923,11115,16400,0,1,100,1,,0,,0,PHj,135,2,2,100,1,0,0,0,0,0,0,3,38,34,28,5,1.36,1.7,5.8,52,19,88,15.8,0,0,0,0.1,5,34,30,36,5,1.31,0.62,7,64,21,97,20.1,1,0,1,0.1
11924,100,11924,11116,17100,0,1,100,1,,0,,0,GRh,79,2,4,100,1,0,0,0,0,0,0,10,25,54,21,7,1.37,1.6,6.6,71,21,99,14,1.6,0,2,0.1,10,23,49,28,5,1.33,0.4,7,64,20,100,15.3,3.5,0,2,0.1
11925,15300,11925,11117,17101,0,1,100,1,,0,,0,GRh,79,2,4,100,1,0,0,0,0,0,0,10,25,54,21,7,1.37,1.6,6.6,71,21,99,14,1.6,0,2,0.1,10,23,49,28,5,1.33,0.4,7,64,20,100,15.3,3.5,0,2,0.1
11927,6800,11927,11119,17200,0,1,100,1,,0,,0,GRh,79,2,4,100,1,0,0,0,0,0,0,10,25,54,21,7,1.37,1.6,6.6,71,21,99,14,1.6,0,2,0.1,10,23,49,28,5,1.33,0.4,7,64,20,100,15.3,3.5,0,2,0.1
