Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11821,300,11821,11013,13300,0,1,100,1,,0,,0,CMe,62,3,4,100,1,0,0,0,0,0,0,10,23,29,48,3,1.25,1.17,6.7,50,27,89,22.1,0.1,0,1,0.1,24,26,29,45,3,1.26,0.58,7,51,25,97,25.9,0.3,0,1,0.1
11822,100,11822,11014,13302,0,1,100,1,,0,,0,CMe,62,2,4,100,1,0,0,0,0,0,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11823,100,11823,11015,13304,0,1,100,1,,0,,0,CMe,62,3,4,100,1,0,0,0,0,0,0,10,23,29,48,3,1.25,1.17,6.7,50,27,89,22.1,0.1,0,1,0.1,24,26,29,45,3,1.26,0.58,7,51,25,97,25.9,0.3,0,1,0.1
11824,400,11824,11016,13305,0,1,100,1,,0,,0,CMe,62,3,4,100,1,0,0,0,0,0,0,10,23,29,48,3,1.25,1.17,6.7,50,27,89,22.1,0.1,0,1,0.1,24,26,29,45,3,1.26,0.58,7,51,25,97,25.9,0.3,0,1,0.1
11825,400,11825,11017,13307,0,1,100,1,,0,,0,CMe,62,2,4,100,1,0,0,0,0,0,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11826,100,11826,11018,13309,0,1,100,1,,0,,0,CMe,62,2,4,100,1,0,0,0,0,0,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11827,400,11827,11019,14000,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11828,300,11828,11020,14100,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11829,300,11829,11021,14101,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11830,100,11830,11022,14102,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
